scriptname,frequency,schedule_time,ETA,scriptpath
sf_to_jesta_daily_file_check_vtst.py,daily,00:00:00,00:30:00,D:\oracle\sf_jesta_sync\sf_to_jesta\vtst
Allheart_orderlogix.py,daily,00:01:00,00:30:00,D:\dstdw\Allheart\allheart_ct
Allheart_sales.py,daily,00:01:00,00:30:00,D:\dstdw\Allheart\allheart_ct
container_and_redshift_file_comparison.py,daily,00:05:00,01:05:00,D:\dstdw\Azure_blob
amazon_marketplace_fbm.py,daily,00:05:00,01:05:00,D:\dstdw\Marketplace\Amazon
amazon_marketplace_fba.py,daily,00:05:00,01:05:00,D:\dstdw\Marketplace\Amazon
walmart_marketplace_fbm.py,daily,00:05:00,01:05:00,D:\dstdw\Marketplace\Walmart
jesta_daily_wrapper.py,daily,00:05:00,04:55:00,D:\oracle\jesta\vprd\bi_reports\daily
wrapper_full_ext_spi_media.py,daily,00:05:00,01:50:00,D:\oracle\jesta\vprd\SPI_MEDIA
omp_daily_wrapper.py,daily,00:10:00,01:10:00,D:\dstdw\OMP
report325_schedule_update.py,daily,00:10:00,01:10:00,D:\dstdw\omp_tableau\report325\report325_schedule
plmdb_tables_wrapper.py,daily,00:10:00,01:10:00,D:\dstdw\plmdb
sage_wrapper.py,daily,00:10:00,01:10:00,D:\dstdw\sage
omp_daily_dev_wrapper.py,daily,00:10:00,01:10:00,D:\mithil\script_files\OMP
jesta_daily_drop_recreate_wrapper.py,daily,00:10:00,01:10:00,D:\oracle\jesta\vprd\bi_reports\daily_drop_recreate
mssc_api_extraction_wrapper.py,daily,00:20:00,01:20:00,D:\dstdw\mssc
Logility_daily_wrapper.py,daily,00:30:00,01:30:00,D:\dstdw\logility\daily_extraction
pdm_marketing_files_modification_wrapper.py,daily,00:30:00,01:30:00,D:\dstdw\pdm_marketing
jesta_response_customer_wrapper.py,daily,00:30:00,01:30:00,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd\merge_scripts
jesta_response_customer_vtst_wrapper.py,daily,00:30:00,01:30:00,D:\oracle\sf_jesta_sync\sf_to_jesta\vtst\merge_scripts
sci_customer_sales_wrapper.py,daily,00:30:00,01:30:00,D:\oracle\jesta\vprd\bi_reports\sci_customer_sales
cancelled_backorders_wrapper.py,daily,00:30:00,01:00:00,D:\dstdw\bi_reports\cancelled_backorders
mssc_customers_api_extraction_wrapper.py,daily,00:40:00,01:40:00,D:\dstdw\mssc\mssc_customers
bi_prod_grants_wrapper.py,daily,01:00:00,02:00:00,D:\dstdw\grants
inventory_historical_actuals_wrapper.py,daily,01:00:00,02:00:00,D:\dstdw\bi_reports\inventory_historical_actuals
omp_tsv_load_wrapper.py,daily,01:40:00,02:40:00,D:\dstdw\omp_tableau\dataops
amazon_mp_fba_returns.py,daily,02:00:00,03:00:00,D:\dstdw\Marketplace\Amazon\Returns
amazon_mp_fbm_returns.py,daily,02:00:00,03:00:00,D:\dstdw\Marketplace\Amazon\Returns
image_availability_wrapper.py,daily,02:00:00,03:00:00,D:\dstdw\bi_reports\image_availability
walmart_mp_fbm_returns.py,daily,02:05:00,02:35:00,D:\dstdw\Marketplace\Walmart\Returns\walmart_fbm_returns
walmart_mp_wfs_returns.py,daily,02:05:00,02:35:00,D:\dstdw\Marketplace\Walmart\Returns\walmart_wfs_returns
b2c_run_daily_script.py,daily,02:30:00,08:00:00,D:\dstdw\bi_reports\b2c_run_daily_sp
sku_price_historical_wrapper.py,daily,02:30:00,05:30:00,D:\dstdw\bi_reports\sku_price_historical
invoice_statement_pdf_wrapper.py,daily,03:00:00,04:30:00,D:\oracle\jesta\vprd\invoice_cm_pdf_creation
daily_b2c_walmart_orders_extract.py,daily,03:10:00,04:10:00,D:\oracle\jesta\vprd\walmart_json
big_wip_data_with_size_wrapper.py,daily,03:30:00,04:30:00,D:\dstdw\bi_reports\big_wip_data_with_size
salesreps_sales_wrapper.py,daily,03:40:00,05:40:00,D:\dstdw\Jesta\salesreps_sales
generic_cleanup_script.py,daily,04:00:00,04:15:00,D:\oracle\cleanup
strategic_sales_wrapper.py,daily,04:15:00,05:30:00,D:\oracle\jesta\vprd\strategic_sales
wrapper_count_comparison.py,daily,04:30:00,05:30:00,D:\oracle\jesta\vprd\count_comparision
wrapper_count_comparison_P1_tables.py,daily,04:40:00,05:40:00,D:\oracle\jesta\vprd\count_comparision
ah_wrapper.py,daily,05:00:00,06:00:00,D:\dstdw\AH_EXT
ah_next_generic_wrapper.py,daily,05:00:00,06:00:00,D:\dstdw\AH_EXT
read_omp_excel_data_wrapper.py,daily,05:30:00,06:30:00,D:\dstdw\omp_tableau\report325\report325_xlsm
ah_tables_extraction_wrapper.py,daily,05:30:00,06:30:00,D:\oracle\allheart
exchange_rates_wrapper.py,daily,05:55:00,06:25:00,D:\dstdw\bi_reports\exchange_rates
amazon_inventory_wrapper.py,daily,06:00:00,07:00:00,D:\dstdw\Marketplace\amazon_inventory
sci_by_channel_wrapper.py,daily,20:00:00,22:00:00,D:\dstdw\bi_reports\asd_reports\SCI_By_Channel
logility_wrapper.py,daily,21:00:00,22:00:00,D:\dstdw\logility\6hours
hh_marketplace_returns_files_extraction_wrapper(hh_scrubs).py,daily(Mon-Fri),04:00:00,05:00:00,D:\dstdw\Marketplace\HealingHands
hh_marketplace_returns_files_extraction_wrapper(sf_scrubs).py,daily(Mon-Fri),04:00:00,05:00:00,D:\dstdw\Marketplace\HealingHands
hh_marketplace_orders_files_extraction_wrapper(hh_scrubs).py,daily(Mon-Fri),04:00:00,05:00:00,D:\dstdw\Marketplace\HealingHands
hh_marketplace_orders_files_extraction_wrapper(sf_scrubs).py,daily(Mon-Fri),04:00:00,05:00:00,D:\dstdw\Marketplace\HealingHands
hh_transactions_ksa_file_extraction_wrapper.py,daily(Mon-Fri),06:00:00,07:00:00,D:\dstdw\Marketplace\Amazon_transaction\amazon_hh_transaction
hh_transactions_us_file_extraction_wrapper.py,daily(Mon-Fri),06:00:00,07:00:00,D:\dstdw\Marketplace\Amazon_transaction\amazon_hh_transaction
hh_transactions_mx_file_extraction_wrapper.py,daily(Mon-Fri),06:00:00,07:00:00,D:\dstdw\Marketplace\Amazon_transaction\amazon_hh_transaction
hh_transactions_ca_file_extraction_wrapper.py,daily(Mon-Fri),06:00:00,07:00:00,D:\dstdw\Marketplace\Amazon_transaction\amazon_hh_transaction
walmart_mpi_inventory.py,daily(Mon-Fri),08:30:00,09:30:00,D:\dstdw\Marketplace\walmart_inventory
walmart_mpi_transaction.py,daily(Mon-Fri),08:30:00,09:30:00,D:\dstdw\Marketplace\Walmart_transaction
ah_logility_weekly_wrapper.py,weekly(Mon),03:30:00,04:30:00,D:\dstdw\bi_reports\AH_logility_report
big_wip_data_snapshot_wrapper.py,weekly(Mon),00:30:00,01:30:00,D:\dstdw\bi_reports\big_wip_data_with_size_snapshot
daw_hist_wrapper.py,weekly(Mon),00:40:00,01:40:00,D:\oracle\jesta\vprd\DAW_WKLY
omp_tableau_monday_process_wrapper.py,6hour,NA,NA,D:\dstdw\omp_tableau\monday_process
logility_dev_wrapper.py,6hour,NA,NA,D:\mithil\script_files\logility\6hours
jesta_6hrs_wrapper.py,6hour,NA,NA,D:\oracle\jesta\vprd\bi_reports\6hours
sf_to_jesta_daily_file_check.py,3hour,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd
orderstatus_spiapp2_wrapper.py,2hour,NA,NA,D:\dstdw\Jesta\orderstatus\orderstatus_spiapp2
azure_download_files.py,2hour,NA,NA,D:\dstdw\Azure_blob
customer_statement_wrapper.py,hourly,NA,NA,D:\dstdw\bi_reports\customer_statement
jesta_daily_wrapper_inve_audit_size_deta.py,hourly,NA,NA,D:\oracle\jesta\vprd\bi_reports\inve_aud_size_deta
jesta_daily_wrapper_inventory_audit.py,hourly,NA,NA,D:\oracle\jesta\vprd\bi_reports\inventory_audit
sf_to_jesta_merge_wrapper_add_info_data.py,hourly,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd\merge_scripts
sf_to_jesta_merge_wrapper_add_info_data_vtst.py,hourly,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vtst\merge_scripts
sod_credit_col_capture.py,30min,NA,NA,D:\dstdw\Jesta\sales_order_detail_credit_hist
orderstatus_header_wrapper.py,30min,NA,NA,D:\dstdw\Jesta\orderstatus\OSH
orderstatus_detail_wrapper.py,30min,NA,NA,D:\dstdw\Jesta\orderstatus\OSD
sf_to_jesta_wrapper.py,30min,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd
sf_to_jesta_upd_wrapper.py,30min,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vprd\update_scripts
sf_to_jesta_vtst_wrapper.py,30min,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vtst
sf_to_jesta_upd_vtst_wrapper.py,30min,NA,NA,D:\oracle\sf_jesta_sync\sf_to_jesta\vtst\update_scripts
daw_and_open_orders_combined_wrapper.py,30min,NA,NA,D:\oracle\jesta\vprd\open_orders
ompsynch_process_wrapper.py,10min,NA,NA,D:\oracle\ompsynch\ompdev
ompprod_sync_process_wrapper.py,10min,NA,NA,D:\oracle\ompsynch\ompprod
ompsynch_process_wrapper_rsprod.py,10min,NA,NA,D:\oracle\ompsynch\ompdev_rsprod